,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
205,L-Cystine,cystine,1.463,0.0065940398 
206,Cytidine,cytidine,0.5297,0.0000000000 
207,CDP-choline,cytidine 5'-diphosphocholine,1.9566,0.0000065589 
208,CMP,cytidine 5'-monophosphate,2.2481,0.0000000000 
209,3'-CMP,cytidine-3'-monophosphate,1.0653,0.5313887111 
211,3-Dehydroxycarnitine,deoxycarnitine,1.2702,0.0000540306 
212,dihomo-linoleate,dihomo-linoleate,2.6223,0.0000000000 
214,dihydrocholesterol,dihydrocholesterol,1.2743,0.1455664576 
216,"N,N-Dimethylglycine",dimethylglycine,1.084,0.3364153832 
218,docosahexaenoate,docosahexaenoate,0.4018,0.0000000000 
221,docosatrienoate,docosatrienoate,2.6585,0.0000000000 
222,Dodecanedioic acid,dodecanedioate,0.8259,0.1032740580 
223,eicosapentaenoate,eicosapentaenoate,0.4594,0.0000000000 
224,Eicosenoic acid,eicosenoate,4.9995,0.0000000000 
225,epinephrine,epinephrine,,
226,ergothioneine,ergothioneine,4.2204,0.0000000000 
227,erucate,erucate,3.0326,0.0000000000 
228,erythritol,erythritol,1.4509,0.0026096325 
229,erythronate,erythronate,0.8975,0.2859370108 
230,ethanolamine,ethanolamine,0.4066,0.0000000000 
231,flavin adenine dinucleotide,flavin adenine dinucleotide,0.2884,0.0000000000 
232,Fructose,fructose,4.3012,0.0000000000 
233,D-Fructose 1-phosphate,fructose 1-phosphate,6.4329,0.0000000000 
234,D-Fructose 6-phosphate,fructose 6-phosphate,6.9369,0.0000000000 
235,fucose,fucose,0.8337,0.1479991742 
236,Fumarate,fumarate,0.2933,0.0000000000 
237,gabapentin,gabapentin,0.3615,0.0004714018 
238,alpha-D-Galactose,galactose,1.6336,0.0012668179 
248,D-Glucarate,glucarate,1.1902,0.1672033054 
249,D-Gluconic acid,gluconate,0.2967,0.0000000000 
250,D-glucose,glucose,4.2097,0.0000000000 
251,D-Glucose 1-phosphate,glucose 1-phosphate,2.4391,0.0000024093 
252,glucose 6-phosphate,glucose 6-phosphate,9.3556,0.0000000000 
253,D-Glucuronate,glucuronate,0.3571,0.0000000006 
254,L-Glutamate,glutamate,1.5065,0.0000000000 
