,HCvsNC,NTvsNC,HTvsNC,HCvsNT,HCvsHT,HTvsNT
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
Uridine diphosphate-N-acetylglucosamine,0.489143735,2.082591361,1.081458914,0.234872642,0.452299878,0.519285221
L-Glutamic acid,0.514013821,1.941379272,0.856345499,0.264767338,0.600241166,0.441101598
Acetylcysteine,0.637247978,1.974626319,1.11568425,0.322718264,0.571172335,0.565010321
L-Glutamic acid,0.547812045,1.532524271,0.768534537,0.357457337,0.712800816,0.501482783
N-Acetylornithine,0.571329719,1.623958734,0.936952587,0.351812954,0.609774419,0.576955909
L-Glutamic acid,0.570578928,1.595036275,0.844010702,0.3577216,0.676032812,0.529148281
unknown,0.541877155,1.845177599,0.983984603,0.293672086,0.550696783,0.533273655
N-Acetyl-L-aspartic acid,0.519079749,1.962107659,0.886551418,0.264552124,0.585504392,0.451836276
D-Glucose,0.543470937,2.14525981,0.934823272,0.25333572,0.581362225,0.435762264
Acetamide,0.535219917,1.989691191,0.840035186,0.268996475,0.637139879,0.422193751
D-Glucose,0.529533138,2.85453768,1.245747642,0.185505745,0.425072559,0.436409598
unknown,0.506292287,2.892813102,1.235401654,0.175017282,0.409819985,0.427058925
Acetic acid,0.99441864,4.051023837,1.292483075,0.245473411,0.769386199,0.319050968
unknown,0.674158354,3.552974058,1.667499751,0.189744801,0.404292926,0.469325057
unknown,0.598736844,1.876853223,0.936942135,0.319011011,0.639032894,0.499209061
unknown,0.431294856,1.281087697,0.566060828,0.336663022,0.761923163,0.441859545
L-Leucine,0.566480961,5.302851815,1.890787236,0.10682572,0.299600584,0.356560451
L-Leucine,0.543179023,2.9462032,1.300914369,0.18436577,0.417536339,0.441556227
unknown,0.558480576,3.333694651,1.447463995,0.167526014,0.385833829,0.434192134
unknown,0.546125458,5.753449092,1.913140416,0.094921403,0.285460206,0.332520613
unknown,0.561235818,1.975986261,1.345956456,0.284028198,0.416979179,0.681156789
unknown,0.676927444,1.621861322,1.601396528,0.417376896,0.422710698,0.987381909
Homocitrulline,0.739989449,1.948334492,1.506616222,0.379806164,0.491159884,0.773284171
unknown,0.611449822,4.239467946,1.853117498,0.144227962,0.329957395,0.437110864
L-Alanine,0.461957466,3.592411044,1.200013433,0.128592597,0.384960246,0.334041238
L-Isoleucine,0.585572459,3.101174443,1.500019421,0.188822806,0.390376585,0.483693984
L-Lactic acid,0.603202953,2.890341886,1.193184323,0.208696056,0.505540461,0.412817711
Homocitrulline,0.539464468,0.823073583,0.923686862,0.65542678,0.58403393,1.122240928
unknown,0.371661979,-0.321547568,1.127431428,-1.155853802,0.329653733,-3.506266383
L-Threonine,0.315358639,21.46104172,1.920504437,0.01469447,0.16420615,0.089487941
L-Lactic acid,0.912063273,25.50469755,4.449776369,0.035760599,0.204968339,0.174468894
L-Threonine,0.543515677,21.56799848,3.112686248,0.025200098,0.174613062,0.144319662
L-Lactic acid,1.011804434,23.39140794,4.861287255,0.043255388,0.208135085,0.207823628
unknown,1.037181486,9.102639998,5.725362254,0.113942931,0.181155609,0.628978215
L-Isoleucine,0.917117657,5.613359856,4.558763769,0.163381233,0.201176833,0.812127476
unknown,0.950217691,1.255949936,1.067967131,0.756572905,0.889744323,0.850326196
L-Lactic acid,0.841998238,1.424194915,1.068925398,0.591209974,0.787705335,0.750547124
unknown,0.817129046,1.907018652,1.086904034,0.428485084,0.751795026,0.569949347
3-Hydroxybutyric acid,0.836295604,51.46048915,14.60796013,0.016251218,0.057249308,0.283867495
unknown,0.840004816,3.339254344,2.369554329,0.251554608,0.354499074,0.709605824
unknown,0.81252048,9.217220996,2.522074527,0.088152436,0.322163549,0.273626349
unknown,0.867158133,7.763940583,3.116719338,0.111690465,0.278227854,0.401435238
3-Methyl-2-oxovaleric acid,0.880169996,7.535266886,2.767962592,0.116806745,0.317984787,0.36733438
Methylsuccinic acid,0.809958735,13.87226278,3.697060127,0.058386923,0.21908184,0.26650736
unknown,0.78497028,3.665784919,1.852748419,0.214134298,0.423678829,0.505416564
L-Valine,0.500763344,6.682081272,2.299958606,0.074941223,0.217727112,0.34419794
L-Isoleucine,0.517142036,6.016826021,2.29357318,0.085949309,0.2254744,0.381193203
L-Valine,0.483423477,6.351680216,2.28076699,0.076109543,0.211956539,0.359080891
D-Alpha-aminobutyric acid,0.541965048,4.575891372,2.475586383,0.118439229,0.218923909,0.541006371
L-Leucine,0.508133158,4.291403418,1.581890064,0.118407222,0.321219009,0.368618354
L-Leucine,0.521460422,3.657499502,1.53622425,0.142572931,0.339442905,0.420020358
L-Isoleucine,0.543802302,3.773170107,1.668047572,0.144123452,0.326011267,0.442081201
